URL,Duration(second),Standard Deviation
https://www.youtube.com/watch?v=qTPKGVrFtQU,614,20.31765872918993
https://www.youtube.com/watch?v=vFgbJomoWac,1100,18.893651079984863
https://www.youtube.com/watch?v=8LX4earN0gY,677,31.30350240404298
https://www.youtube.com/watch?v=T95ZET6snSk,685,25.586725646330112
https://www.youtube.com/watch?v=obPT0w4LPow,465,11.13272203910616
https://www.youtube.com/watch?v=pSlCKuSSdkA,469,19.753065426662264
https://www.youtube.com/watch?v=an94_qXOw4c,647,29.060531013901265
https://www.youtube.com/watch?v=3hOZNbFI82c,939,28.100249526249762
https://www.youtube.com/watch?v=nFMunlQ4ZrM,468,25.908417430441403
https://www.youtube.com/watch?v=ezv0IhfG970,779,32.89792802957434
https://www.youtube.com/watch?v=S1-xgIAVK4s,490,21.00486020541758
https://www.youtube.com/watch?v=PpFFqS8j9_0,540,16.400843097871146
https://www.youtube.com/watch?v=NEA_Nd5lxJM,438,24.11878014236117
https://www.youtube.com/watch?v=Q_EAYzJFt2g,480,10.268086177569801
https://www.youtube.com/watch?v=5OUataBR_88,1026,19.35161228319707
https://www.youtube.com/watch?v=a-BUWLQtifE,317,10.075746183634479
https://www.youtube.com/watch?v=xCLziRWc6bo,510,23.313865663590214
https://www.youtube.com/watch?v=TtA4Txii0us,426,31.80398297907565
https://www.youtube.com/watch?v=o-QU8m3hXP0,300,11.11800341788039
https://www.youtube.com/watch?v=GHYOyr_ISUY,681,7.833088655364354
https://www.youtube.com/watch?v=T6juWj2o03A,1100,34.29302680375471
https://www.youtube.com/watch?v=eMiuD5ddUaA,661,25.35992967375602
https://www.youtube.com/watch?v=zBf36jo95-8,304,36.87600846078654
https://www.youtube.com/watch?v=0fUnuFSl4jo,477,14.69574236811465
https://www.youtube.com/watch?v=cbCehNxw-eI,364,20.469344953863
https://www.youtube.com/watch?v=oAb2YE-5qnM,602,11.52128465059344
https://www.youtube.com/watch?v=cdfLK8v5uXs,429,11.0557492661843
https://www.youtube.com/watch?v=nlp7RCXBhzQ,671,21.025198142136492
https://www.youtube.com/watch?v=tl0fX2FnYPY,860,26.72215787992822
https://www.youtube.com/watch?v=weTM5PlAY_Q,451,31.952051479521625
https://www.youtube.com/watch?v=CuVmueVpJe8,727,16.484788863946328
https://www.youtube.com/watch?v=JrOYa5_-CvQ,531,12.423717858680579
https://www.youtube.com/watch?v=Lzw_H4imSj0,329,19.840687804659986
https://www.youtube.com/watch?v=RcL5XNFWkWI,395,31.064610089296146
https://www.youtube.com/watch?v=CLWtnA_4ky0,308,19.72308292331602
https://www.youtube.com/watch?v=NM08R4kWcB8,718,21.66009515727533
https://www.youtube.com/watch?v=kMsWyPjRUZE,472,19.561867668161614
https://www.youtube.com/watch?v=SEZp-0O7dkA,420,17.938813238566347
https://www.youtube.com/watch?v=Avy_bnTPumw,865,27.940951836619067
https://www.youtube.com/watch?v=CsQ2TJ8RpJE,1076,10.52627517860912
https://www.youtube.com/watch?v=59hUv75jAyc,1093,20.6483482563203
https://www.youtube.com/watch?v=IsS_d1FUJRU,650,26.706702040579582
https://www.youtube.com/watch?v=jDtoyKT4cwc,669,36.94179585498972
https://www.youtube.com/watch?v=jQ43ev4Tfs8,768,50.68775513583196
https://www.youtube.com/watch?v=tG6M7fF0uxM,388,31.626331625261347
https://www.youtube.com/watch?v=Ac533ZkHD5I,533,10.47336421713154
https://www.youtube.com/watch?v=09Zdcr4PjQQ,369,20.72959180329803
https://www.youtube.com/watch?v=yxO3EONOGf8,617,12.321652862002754
https://www.youtube.com/watch?v=mfKDaFM2Btk,1162,12.960923417399304
https://www.youtube.com/watch?v=ijaqBUY-N38,399,16.03767753110518
https://www.youtube.com/watch?v=s-lSUi9LFlI,537,11.819240434327599
https://www.youtube.com/watch?v=WPRtkwV3kC4,603,34.011669332651856
https://www.youtube.com/watch?v=H9xvodwIoZY,654,36.39887497126187
https://www.youtube.com/watch?v=Zu8eaT1PRA0,404,12.299825782738319
https://www.youtube.com/watch?v=Rg_s7xQRB1Y,449,31.506189868024347
https://www.youtube.com/watch?v=JgFv1E6r2nU,332,12.368314622921357
https://www.youtube.com/watch?v=P5lDJYAsy_E,495,21.776785201273903
https://www.youtube.com/watch?v=OmBvN41BfxI,365,11.473399186330479
https://www.youtube.com/watch?v=4VOOVGdd6Mo,728,19.732369345823628
https://www.youtube.com/watch?v=-yGmk-7X3Fs,775,21.238885015141225
https://www.youtube.com/watch?v=yDZ991-CWMo,422,13.270536645408988
https://www.youtube.com/watch?v=Q5EF4qworaE,374,19.153382756210902
https://www.youtube.com/watch?v=rnMOllufqKI,659,6.910436471844955
https://www.youtube.com/watch?v=rz4eVLIFZq0,305,16.359706598836055
https://www.youtube.com/watch?v=Fc-_xP6gYkM,763,12.639620247459968
https://www.youtube.com/watch?v=qDKU0rSnd6k,591,33.67859112255143
https://www.youtube.com/watch?v=3taNpIOAUSY,1164,12.03599685318319
https://www.youtube.com/watch?v=xbSp0TxZpM4,471,9.780706632049762
https://www.youtube.com/watch?v=aVHdv502hR4,765,16.82106491432903
https://www.youtube.com/watch?v=WTcHRggna8o,671,12.755488204645205
https://www.youtube.com/watch?v=0kqbw3AwgLo,433,26.651995964446808
https://www.youtube.com/watch?v=Y6eWmpgvl2k,799,28.33142089890466
https://www.youtube.com/watch?v=2_oWtWtZAfo,315,27.299986377255706
https://www.youtube.com/watch?v=ri4oacr-ZWs,667,40.59487917060517
https://www.youtube.com/watch?v=F93LW_P3yec,560,17.497605692955524
https://www.youtube.com/watch?v=Y1D9slLijj0,542,22.617131251305526
https://www.youtube.com/watch?v=TtTsNNXrRU0,543,31.317337423042495
